10.445653200149536s to calculate
0.03365015983581543s to dump
         1087997 function calls (1072484 primitive calls) in 11.320 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     1810    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      454    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
      652    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       15    0.000    0.000    0.000    0.000 patches.py:924(get_bbox)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        6    0.000    0.000    0.000    0.000 deprecation.py:419(make_keyword_only)
       14    0.000    0.000    0.000    0.000 core.py:5898(__init__)
       81    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
1554/1552    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 helpers.py:151(one_of)
        1    0.000    0.000    0.000    0.000 _base.py:788(set_subplotspec)
        4    0.000    0.000    0.000    0.000 getlimits.py:543(_init)
        2    0.000    0.000    0.000    0.000 patches.py:738(__init__)
       27    0.000    0.000    0.000    0.000 artist.py:45(allow_rasterization)
        2    0.000    0.000    0.000    0.000 axis.py:2343(_init)
       14    0.000    0.000    0.000    0.000 __init__.py:199(split)
  846/622    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 _version.py:55(__init__)
      209    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      334    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 TiffTags.py:431(_populate)
      172    0.000    0.000    0.000    0.000 colors.py:966(copy)
       17    0.000    0.000    0.000    0.000 transforms.py:814(from_extents)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      625    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
     1836    0.000    0.000    0.000    0.000 typing.py:1617(<genexpr>)
      129    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
       47    0.000    0.000    0.000    0.000 transforms.py:2517(composite_transform_factory)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2793(NavigationToolbar2)
      804    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      105    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
      156    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      816    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       28    0.000    0.000    0.000    0.000 pathlib.py:1065(_make_child_relpath)
       52    0.000    0.000    0.000    0.000 core.py:917(__init__)
       36    0.000    0.000    0.000    0.000 lines.py:647(set_data)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
       47    0.000    0.000    0.000    0.000 colors.py:240(_check_color_like)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
       42    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
      856    0.000    0.000    0.000    0.000 typing.py:1270(__eq__)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
  214/203    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 results.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
       25    0.000    0.000    0.000    0.000 font_manager.py:906(copy)
       47    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
        1    0.000    0.000    0.000    0.000 scale.py:737(_get_scale_docs)
      464    0.000    0.000    0.000    0.000 typing.py:1583(__eq__)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
       32    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 figure.py:2366(Figure)
       12    0.000    0.000    0.000    0.000 lines.py:1188(set_marker)
      641    0.000    0.000    0.000    0.000 inspect.py:296(isclass)
     1606    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
      349    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       30    0.000    0.000    0.000    0.000 markers.py:250(_recache)
        7    0.000    0.000    0.000    0.000 core.py:1452(__radd__)
      640    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      545    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
        5    0.000    0.000    0.000    0.000 _base.py:2546(_process_unit_info)
      139    0.000    0.000    0.000    0.000 core.py:1983(__eq__)
       31    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       11    0.000    0.000    0.000    0.000 version.py:47(parse)
       78    0.000    0.000    0.000    0.000 core.py:4099(<genexpr>)
       19    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
       36    0.000    0.000    0.000    0.000 rcsetup.py:772(<genexpr>)
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
      150    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        3    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:57(comma_separated)
  306/282    0.000    0.000    0.000    0.000 results.py:173(__init__)
      172    0.000    0.000    0.000    0.000 colors.py:783(__copy__)
       40    0.000    0.000    0.000    0.000 pathlib.py:380(with_segments)
     2107    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       76    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       23    0.000    0.000    0.000    0.000 core.py:5228(__init__)
       11    0.000    0.000    0.000    0.000 typing.py:1985(__init_subclass__)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       11    0.000    0.000    0.000    0.000 version.py:188(__init__)
      381    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       11    0.000    0.000    0.000    0.000 core.py:1704(__call__)
      369    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      677    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      281    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 gridspec.py:648(get_position)
      279    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       18    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
       63    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
       53    0.000    0.000    0.000    0.000 artist.py:727(set_figure)
       29    0.000    0.000    0.000    0.000 text.py:985(set_color)
      382    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
     1289    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 cm.py:332(_scale_norm)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cm.py:588(autoscale_None)
       39    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
       23    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
       15    0.000    0.000    0.000    0.000 typing.py:1533(copy_with)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:627(_repr_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:592(matplotlib_fname)
      313    0.000    0.000    0.000    0.000 function_base.py:470(_needs_add_docstring)
       52    0.000    0.000    0.000    0.000 artist.py:436(set_transform)
       13    0.000    0.000    0.000    0.000 core.py:8527(__init__)
       33    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.000    0.000 colors.py:1441(autoscale_None)
      143    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
      642    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 actions.py:1(<module>)
       36    0.000    0.000    0.000    0.000 transforms.py:759(__init__)
       88    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 patches.py:3152(ArrowStyle)
      698    0.000    0.000    0.000    0.000 ast.py:257(iter_fields)
      384    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        1    0.000    0.000    0.000    0.000 geo.py:413(LambertAxes)
        8    0.000    0.000    0.000    0.000 core.py:584(_setResultsName)
      182    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
       14    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       53    0.000    0.000    0.000    0.000 pathlib.py:1157(__init__)
      383    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
      503    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:84(TransformNode)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
      534    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
       45    0.000    0.000    0.000    0.000 typing.py:995(_typevar_subst)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       13    0.000    0.000    0.000    0.000 core.py:8532(getdoc)
      105    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       47    0.000    0.000    0.000    0.000 transforms.py:2358(__init__)
        1    0.000    0.000    0.000    0.000 registry.py:1(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
      537    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        6    0.000    0.000    0.000    0.000 axis.py:1744(update_units)
     1299    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      418    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
        1    0.000    0.000    0.000    0.000 ticker.py:2271(LogLocator)
        1    0.000    0.000    0.000    0.000 pathlib.py:81(_make_selector)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       11    0.000    0.000    0.000    0.000 transforms.py:2334(blended_transform_factory)
      332    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        7    0.000    0.000    0.000    0.000 core.py:5903(__add__)
      329    0.000    0.000    0.000    0.000 __init__.py:1517(debug)
        1    0.000    0.000    0.000    0.000 pathlib.py:193(__init__)
       21    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
     12/6    0.000    0.000    0.000    0.000 units.py:164(get_converter)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 dviread.py:202(Dvi)
       12    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        3    0.000    0.000    0.000    0.000 __init__.py:613(gen_candidates)
       24    0.000    0.000    0.000    0.000 deprecation.py:190(finalize)
        2    0.000    0.000    0.000    0.000 dataclasses.py:661(_cmp_fn)
      642    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      169    0.000    0.000    0.000    0.000 core.py:2399(__new__)
    379/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
      102    0.000    0.000    0.000    0.000 artist.py:103(_stale_axes_callback)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       32    0.000    0.000    0.000    0.000 __init__.py:671(__init__)
      137    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       24    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
      557    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
      467    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      147    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
        3    0.000    0.000    0.000    0.000 pathlib.py:1197(home)
       19    0.000    0.000    0.000    0.000 fromnumeric.py:51(_wrapfunc)
      189    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
      114    0.000    0.000    0.000    0.000 transforms.py:1779(__init__)
       16    0.000    0.000    0.000    0.000 cbook.py:215(connect)
       12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      635    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 proj3d.py:1(<module>)
    28/24    0.000    0.000    0.000    0.000 spines.py:339(get_spine_transform)
       17    0.000    0.000    0.000    0.000 transforms.py:2594(__init__)
       99    0.000    0.000    0.000    0.000 transforms.py:158(invalidate)
        3    0.000    0.000    0.000    0.000 axis.py:483(_apply_tickdir)
       44    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:1518(_set_title_offset_trans)
       80    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.000    0.000 _base.py:822(set_figure)
       44    0.000    0.000    0.000    0.000 results.py:556(copy)
        2    0.000    0.000    0.000    0.000 ticker.py:2865(__init__)
       55    0.000    0.000    0.000    0.000 typing.py:1472(<genexpr>)
       19    0.000    0.000    0.000    0.000 artist.py:24(_prevent_rasterization)
        1    0.000    0.000    0.000    0.000 pathlib.py:106(_compile_pattern)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       18    0.000    0.000    0.000    0.000 __init__.py:226(_from_iter)
        1    0.000    0.000    0.000    0.000 unicode.py:123(pyparsing_unicode)
       20    0.000    0.000    0.000    0.000 colors.py:1202(reversed)
      503    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       40    0.000    0.000    0.000    0.000 colors.py:1162(__init__)
       46    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:556(get_configdir)
       11    0.000    0.000    0.000    0.000 patches.py:394(set_facecolor)
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
        1    0.000    0.000    0.000    0.000 gridspec.py:1(<module>)
     1299    0.000    0.000    0.000    0.000 typing.py:1264(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:575(get_cachedir)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        9    0.000    0.000    0.000    0.000 transforms.py:2292(__init__)
        2    0.000    0.000    0.000    0.000 ticker.py:1997(__init__)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      401    0.000    0.000    0.000    0.000 cbook.py:1903(_str_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:428(_sanity_check)
       17    0.000    0.000    0.000    0.000 fromnumeric.py:214(reshape)
       12    0.000    0.000    0.000    0.000 dataclasses.py:760(_get_field)
       86    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       65    0.000    0.000    0.000    0.000 results.py:451(__iadd__)
        1    0.000    0.000    0.000    0.000 transforms.py:2116(IdentityTransform)
        1    0.000    0.000    0.000    0.000 core.py:455(DebugActions)
      168    0.000    0.000    0.000    0.000 _shape_base_impl.py:618(_column_stack_dispatcher)
       34    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
        1    0.000    0.000    0.000    0.000 collections.py:27(Collection)
      165    0.000    0.000    0.000    0.000 rcsetup.py:151(validate_bool)
        1    0.000    0.000    0.000    0.000 geo.py:341(MollweideAxes)
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
       45    0.000    0.000    0.000    0.000 lines.py:1275(set_xdata)
      130    0.000    0.000    0.000    0.000 colors.py:980(__init__)
     1879    0.000    0.000    0.000    0.000 __init__.py:851(<lambda>)
       11    0.000    0.000    0.000    0.000 patches.py:387(_set_facecolor)
        2    0.000    0.000    0.000    0.000 ticker.py:2057(set_params)
       18    0.000    0.000    0.000    0.000 transforms.py:1097(__init__)
      209    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       18    0.000    0.000    0.000    0.000 lines.py:1143(set_linestyle)
       18    0.000    0.000    0.000    0.000 lines.py:1058(set_color)
       81    0.000    0.000    0.000    0.000 typing.py:979(_is_unpacked_typevartuple)
        3    0.000    0.000    0.000    0.000 axis.py:422(_apply_tickdir)
      484    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       30    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
       17    0.000    0.000    0.000    0.000 transforms.py:795(unit)
        1    0.000    0.000    0.000    0.000 geo.py:294(HammerAxes)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       43    0.000    0.000    0.000    0.000 transforms.py:2053(scale)
      186    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       30    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
       24    0.000    0.000    0.000    0.000 dviread.py:184(decorate)
       32    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
      477    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       54    0.000    0.000    0.000    0.000 lines.py:1202(_set_markercolor)
      351    0.000    0.000    0.000    0.000 inspect.py:300(ismethod)
        3    0.000    0.000    0.000    0.000 pathlib.py:1398(expanduser)
        1    0.000    0.000    0.000    0.000 gridspec.py:144(get_grid_positions)
      448    0.000    0.000    0.000    0.000 colors.py:355(<genexpr>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:246(AitoffAxes)
      334    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contour.py:671(ContourSet)
       50    0.000    0.000    0.000    0.000 _internal.py:889(_ufunc_doc_signature_formatter)
       39    0.000    0.000    0.000    0.000 pathlib.py:447(__fspath__)
      727    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      473    0.000    0.000    0.000    0.000 typing.py:953(__eq__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:360(LightSource)
       26    0.000    0.000    0.000    0.000 core.py:944(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:3773(ParseExpression)
       19    0.000    0.000    0.000    0.000 fromnumeric.py:41(_wrapit)
       11    0.000    0.000    0.000    0.000 cbook.py:229(_connect_picklable)
        1    0.000    0.000    0.000    0.000 core.py:4542(ParseElementEnhance)
       65    0.000    0.000    0.000    0.000 inspect.py:2140(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 transforms.py:211(BboxBase)
       77    0.000    0.000    0.000    0.000 numerictypes.py:470(issubdtype)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:37(Tick)
      150    0.000    0.000    0.000    0.000 inspect.py:1822(_shadowed_dict)
        2    0.000    0.000    0.000    0.000 dataclasses.py:882(_hash_add)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       53    0.000    0.000    0.000    0.000 pathlib.py:358(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:3663(set_xlim)
       43    0.000    0.000    0.000    0.000 font_manager.py:821(set_size)
       12    0.000    0.000    0.000    0.000 functools.py:651(cache)
      570    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:675(_hash_fn)
      318    0.000    0.000    0.000    0.000 rcsetup.py:906(_convert_validator_spec)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       45    0.000    0.000    0.000    0.000 lines.py:1294(set_ydata)
       78    0.000    0.000    0.000    0.000 util.py:113(set_)
        1    0.000    0.000    0.000    0.000 image.py:909(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:27(ParseBaseException)
      209    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      782    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        2    0.000    0.000    0.000    0.000 typing.py:2874(__new__)
       18    0.000    0.000    0.000    0.000 core.py:1020(__init__)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        1    0.000    0.000    0.000    0.000 mixins.py:61(NDArrayOperatorsMixin)
       52    0.000    0.000    0.000    0.000 cbook.py:1390(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 patches.py:4120(FancyArrowPatch)
        1    0.000    0.000    0.000    0.000 image.py:248(__init__)
       23    0.000    0.000    0.000    0.000 text.py:1030(set_linespacing)
      378    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       44    0.000    0.000    0.000    0.000 core.py:3082(_generateDefaultName)
        4    0.000    0.000    0.000    0.000 colors.py:1722(_make_norm_from_scale)
       20    0.000    0.000    0.000    0.000 text.py:1098(set_fontsize)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       30    0.000    0.000    0.000    0.000 path.py:202(_update_values)
        1    0.000    0.000    0.000    0.000 _base.py:1184(_gen_axes_patch)
        3    0.000    0.000    0.000    0.000 cbook.py:539(_get_data_path)
       36    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
        1    0.000    0.000    0.000    0.000 axis.py:582(Axis)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       12    0.000    0.000    0.000    0.000 _base.py:3644(_validate_converted_limits)
        1    0.000    0.000    0.000    0.000 lines.py:216(Line2D)
        3    0.000    0.000    0.000    0.000 text.py:586(set_clip_box)
    29/15    0.000    0.000    0.000    0.000 _base.py:912(get_xaxis_transform)
       30    0.000    0.000    0.000    0.000 axis.py:320(_set_artist_props)
        4    0.000    0.000    0.000    0.000 getlimits.py:86(_str_smallest_subnormal)
        1    0.000    0.000    0.000    0.000 patches.py:2365(BoxStyle)
        1    0.000    0.000    0.000    0.000 font_manager.py:1524(_cached_realpath)
        1    0.000    0.000    0.000    0.000 figure.py:123(__init__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      320    0.000    0.000    0.000    0.000 __init__.py:785(__iter__)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:423(realpath)
        1    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
   132/99    0.000    0.000    0.000    0.000 transforms.py:167(_invalidate_internal)
        6    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
      635    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       27    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
        1    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
       94    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        6    0.000    0.000    0.000    0.000 numeric.py:2642(extend_all)
       11    0.000    0.000    0.000    0.000 typing.py:1860(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:3897(set_ylim)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 results.py:36(ParseResults)
        2    0.000    0.000    0.000    0.000 ticker.py:2036(_validate_steps)
        1    0.000    0.000    0.000    0.000 core.py:6672(__new__)
        1    0.000    0.000    0.000    0.000 patches.py:1303(Arrow)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
       12    0.000    0.000    0.000    0.000 typing.py:1114(_generic_init_subclass)
        4    0.000    0.000    0.000    0.000 axis.py:2314(setter)
        1    0.000    0.000    0.000    0.000 core.py:1852(masked_where)
      338    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        6    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:489(broadcast_arrays)
       71    0.000    0.000    0.000    0.000 artist.py:1040(set_visible)
       65    0.000    0.000    0.000    0.000 inspect.py:2482(_descriptor_get)
       15    0.000    0.000    0.000    0.000 transforms.py:2008(rotate_deg)
       44    0.000    0.000    0.000    0.000 core.py:4007(<genexpr>)
       61    0.000    0.000    0.000    0.000 results.py:212(__getitem__)
      170    0.000    0.000    0.000    0.000 colors.py:689(__init__)
    29/15    0.000    0.000    0.000    0.000 _base.py:992(get_yaxis_transform)
       28    0.000    0.000    0.000    0.000 transforms.py:1899(__init__)
        1    0.000    0.000    0.000    0.000 geo.py:456(InvertedLambertTransform)
        1    0.000    0.000    0.000    0.000 core.py:5415(Forward)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:432(_joinrealpath)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       59    0.000    0.000    0.000    0.000 core.py:1889(set_name)
        6    0.000    0.000    0.000    0.000 pathlib.py:870(is_dir)
      168    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
      263    0.000    0.000    0.000    0.000 core.py:3791(<genexpr>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1180(AnnotationBbox)
        1    0.000    0.000    0.000    0.000 core.py:5114(__init__)
        4    0.000    0.000    0.000    0.000 functools.py:852(register)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:36(__getattr__)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
       13    0.000    0.000    0.000    0.000 mixins.py:46(_numeric_methods)
        1    0.000    0.000    0.000    0.000 patches.py:3873(FancyBboxPatch)
      228    0.000    0.000    0.000    0.000 transforms.py:113(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:499(_get_xdg_config_dir)
       30    0.000    0.000    0.000    0.000 rcsetup.py:63(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:1072(_update_transScale)
      319    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 _base.py:876(_set_lim_and_transforms)
        3    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
      154    0.000    0.000    0.000    0.000 core.py:791(preParse)
       18    0.000    0.000    0.000    0.000 lines.py:1226(set_markerfacecolor)
        3    0.000    0.000    0.000    0.000 artist.py:751(set_clip_box)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
      102    0.000    0.000    0.000    0.000 exceptions.py:46(__init__)
       25    0.000    0.000    0.000    0.000 text.py:1217(set_rotation)
        8    0.000    0.000    0.000    0.000 core.py:4972(__init__)
        1    0.000    0.000    0.000    0.000 core.py:4971(_MultipleMatch)
        2    0.000    0.000    0.000    0.000 core.py:3910(_setResultsName)
        3    0.000    0.000    0.000    0.000 transforms.py:1729(set)
      222    0.000    0.000    0.000    0.000 transforms.py:1339(<genexpr>)
       78    0.000    0.000    0.000    0.000 util.py:110(get)
       15    0.000    0.000    0.000    0.000 cbook.py:1787(sanitize_sequence)
